path,sha256,bytes
reports/tushare/v8_research/batch2A15_alpha_attribution/batch2A15_U_filter_only_daily_returns.csv,34f74d5533c5324cd3a84ce8d55d13ecf946fbe8da1a7c87fde6117fe35fb1e3,34623
reports/tushare/v8_research/batch2A15_alpha_attribution/batch2A15_U_filter_only_summary.csv,294f6509db49889dbf3f1aebe63740f7145b84bc030f33b3ee0ebf34cff86336,6636
reports/tushare/v8_research/batch2A15_alpha_attribution/batch2A15_U_keep_drop_summary.csv,1727cf5aad6896507391247963105469e01b9ed5dd79409ca243cb39c7e10068,13873
reports/tushare/v8_research/batch2A15_alpha_attribution/batch2A15_U_keep_drop_trades.csv,806c1af7e75cdb47a51e9e2a54a253fe79c108b28946b3cc88755ed0d5c3ba23,214905
reports/tushare/v8_research/batch2A15_alpha_attribution/batch2A15_conclusion.md,0f147dd08a767ccaec73ec01e60b8c0fc8c7df014aa5cc285549ae8c36184fae,9289
reports/tushare/v8_research/batch2A15_alpha_attribution/batch2A15_cost_decay_by_bucket.csv,0ba098351ba020b51c1ed26aa713c2fbe3882145bee3381cc0fd427eb5d2619a,10332
reports/tushare/v8_research/batch2A15_alpha_attribution/batch2A15_cost_decay_by_day.csv,e049c45a3bb635ae7ee36760045d58dd232d17faba2d137e04f7566729360f4c,15251
reports/tushare/v8_research/batch2A15_alpha_attribution/batch2A15_cost_decay_by_industry.csv,a3d9ba47fa73188f518a2b24fd672338be064b2b60e04ceab09c9a8d3d0f1a65,19851
reports/tushare/v8_research/batch2A15_alpha_attribution/batch2A15_cost_decay_by_stock.csv,ec0ad950996d658dfc15c86733d6d27f9502c0da0efd35ad5637736a9c97f515,101266
reports/tushare/v8_research/batch2A15_alpha_attribution/batch2A15_limitations.md,0898fc54a99c4ddeefd6a982c024f695a48a0c621464993060fc47b3026f3ad0,645
reports/tushare/v8_research/batch2A15_alpha_attribution/batch2A15_liquidity_bucket_score_effectiveness.csv,a48c014b6ba140c2ef1487b5b726a69526165f18406614a224be4780f868874c,11162
reports/tushare/v8_research/batch2A15_alpha_attribution/batch2A15_market_regime_group_summary.csv,986e0962b945976f7e25381a3ed21471b760098fffcaaee2aac972d4151f4d83,38336
reports/tushare/v8_research/batch2A15_alpha_attribution/batch2A15_market_state_daily_proxy.csv,fdfadade8c2b3bbe4e889557949a84527b5e1f07f34f755ef79f2eb46869fab8,11551
reports/tushare/v8_research/batch2A15_alpha_attribution/batch2A15_original_v7_metrics.csv,17ed5213f1b77d051e75a1d9b5d29a3da5d233733f18c0f3aaca3999b4b83386,2312
research/v8_research/batch2A15_alpha_attribution.py,f2602ae19ae9a7d2146146a1702ce3a8b035da0cf606517d1293eba18942fd87,39161
research/v8_research/evaluate_strategy.py,5a7ed2db4f20036cc63c91f56dd80646d0cf4bcfa26a1a61d9a775d0bd33b4c7,44884
