file,sha256,size_bytes
/Users/yuxiang.luo/Documents/Codex/2026-05-21/new-chat/reports/tushare/v9_swing_research/batch3C_factor_ic_decile/batch3C_candidate_factor_screen.csv,8495e8ea0dd4f678128465fc948f6c6093d8d013b611eb967ddfd4ad7d49d9c7,15773
/Users/yuxiang.luo/Documents/Codex/2026-05-21/new-chat/reports/tushare/v9_swing_research/batch3C_factor_ic_decile/batch3C_conclusion.md,85839ea3fc0c59d1e02e164146cf21b66def88fef498bd7fe81e6b14477c2d19,4727
/Users/yuxiang.luo/Documents/Codex/2026-05-21/new-chat/reports/tushare/v9_swing_research/batch3C_factor_ic_decile/batch3C_coverage_summary.csv,8288c995d37c54dfcbf6049194665b7c490b32f2d005e5f058042cb602920a2c,347
/Users/yuxiang.luo/Documents/Codex/2026-05-21/new-chat/reports/tushare/v9_swing_research/batch3C_factor_ic_decile/batch3C_daily_ic.csv,4284d47e26f35fe9ae95c051c5f3c49eaa7c3cc10e55bf563f87ccbca278f39c,17139687
/Users/yuxiang.luo/Documents/Codex/2026-05-21/new-chat/reports/tushare/v9_swing_research/batch3C_factor_ic_decile/batch3C_decile_return_summary.csv,e30283be766687eaaa6217ace74976b00ed2b0a3f6047a97b72ad8f341545cae,68087
/Users/yuxiang.luo/Documents/Codex/2026-05-21/new-chat/reports/tushare/v9_swing_research/batch3C_factor_ic_decile/batch3C_factor_dictionary.csv,cea560dd2e778bba0483560fe9e807eb34e776de35d37e82a16fbfbffeadaebb,4035
/Users/yuxiang.luo/Documents/Codex/2026-05-21/new-chat/reports/tushare/v9_swing_research/batch3C_factor_ic_decile/batch3C_factor_limitations.md,d0ebc32cd4b3efba65ab853f5bae176e866390c56ae5399538cfc5ed321c8f3d,1214
/Users/yuxiang.luo/Documents/Codex/2026-05-21/new-chat/reports/tushare/v9_swing_research/batch3C_factor_ic_decile/batch3C_handoff_to_batch3D.md,9aae7eaf2fe9f11b4b2ea01c39e3c3193f93e1030c1f23bd14f5c4788add1e2f,6069
/Users/yuxiang.luo/Documents/Codex/2026-05-21/new-chat/reports/tushare/v9_swing_research/batch3C_factor_ic_decile/batch3C_ic_by_industry.csv,dc0a4a7163fbd985eefa34d67abd28b47a8811b612506ad3153877bca350ddcb,560446
/Users/yuxiang.luo/Documents/Codex/2026-05-21/new-chat/reports/tushare/v9_swing_research/batch3C_factor_ic_decile/batch3C_ic_by_regime.csv,18bac961c29c011cf2aaeac231fe41b67a9e6144b202ddf10d2388e08cb5460a,212298
/Users/yuxiang.luo/Documents/Codex/2026-05-21/new-chat/reports/tushare/v9_swing_research/batch3C_factor_ic_decile/batch3C_ic_by_size_liquidity.csv,366716b70c5bc5db3849e24d5fa3824f636f9d0335c14703acdeef0cec3c4983,128149
/Users/yuxiang.luo/Documents/Codex/2026-05-21/new-chat/reports/tushare/v9_swing_research/batch3C_factor_ic_decile/batch3C_ic_by_year.csv,69327fcc73b6ff338842bac02d0dfdff316994fb99df8dabb4af2388ff3e3d1a,90976
/Users/yuxiang.luo/Documents/Codex/2026-05-21/new-chat/reports/tushare/v9_swing_research/batch3C_factor_ic_decile/batch3C_rankic_summary.csv,26b0f06300bb5c00ee96cca9dd781c171f76aee0474b76dc5e3c9ce4c393ba1c,25355
/Users/yuxiang.luo/Documents/Codex/2026-05-21/new-chat/reports/tushare/v9_swing_research/batch3C_factor_ic_decile/batch3C_top_bottom_spread.csv,7bad61b46ef4e9205916793ba5ab7781481eed9f68758cdabef1da774cce5656,9811
/Users/yuxiang.luo/Documents/Codex/2026-05-21/new-chat/reports/tushare/v9_swing_research/v9_current_handoff.md,9aae7eaf2fe9f11b4b2ea01c39e3c3193f93e1030c1f23bd14f5c4788add1e2f,6069
/Users/yuxiang.luo/Documents/Codex/2026-05-21/new-chat/reports/tushare/v9_swing_research/v9_execution_roadmap.md,410b3953ed09723006d760b488e5ddadccaed5ba37fe72d7e85011a46b19ced8,25003
/Users/yuxiang.luo/Documents/Codex/2026-05-21/new-chat/reports/tushare/v9_swing_research/v9_stage_status.csv,53539e07a389ca7f1879137885bc677fc551ebc663227061b7384c42bf6f6d87,2508
