path,sha256,bytes
reports/tushare/v8_research/batch1_hard_checks/batch1_603268_zero_exit_analysis.md,8603a14934c31bb24812887ea1bc51be1324a2fd87513e075a5a88b7e0697850,1126
reports/tushare/v8_research/batch1_hard_checks/batch1_capacity_matrix.csv,ddc7dc5fb9f9cbe0d4251a229c88b254975f9af0f7292bdcd54001652ef0a74d,41720
reports/tushare/v8_research/batch1_hard_checks/batch1_conclusion.md,1a462603a6ab7437bc9040d6dc2844960275b007e4be0b36b87d2384c15266ce,5804
reports/tushare/v8_research/batch1_hard_checks/batch1_execution_policy_summary.csv,bd3cd9ba1dc631af13fc64c09583f0b28503c3567df9f466eff8b52275c34f45,3750
reports/tushare/v8_research/batch1_hard_checks/batch1_extreme_return_attribution.csv,d40f241f943fa73b58ad050a33a2283774a6532e9121374df2131f21941c1fcb,94468
reports/tushare/v8_research/batch1_hard_checks/batch1_extreme_return_by_split.csv,4dc307ab9b4dbbf04bd73c5437ca0242118f289461cf42fa2aaa98f577e01971,567
reports/tushare/v8_research/batch1_hard_checks/batch1_extreme_return_limitations.md,721c57c32119497831cf1db366b88cb131fa23404f4a6c19949d3669141270a6,670
reports/tushare/v8_research/batch1_hard_checks/batch1_extreme_return_policy_summary.csv,49172da1b1e72cbf5aa049dcd61656b4ad7776307a8ac227a07ff3e25d2a2b29,401
reports/tushare/v8_research/batch1_hard_checks/batch1_extreme_return_trade_impact.csv,f2603650dad1885c89467e24c23585030d42a11b8966b68b7f01bc7802d0ce61,1910
reports/tushare/v8_research/batch1_hard_checks/batch1_fill_quality.csv,4f646a0a000b9a0e6622651f7a3901caab67212baa21b5fdbf2bd18a85f79133,11280
reports/tushare/v8_research/batch1_hard_checks/batch1_impact_cost_formula.md,606d3bf3d91bf7d96951ab72ea9dd16b87262ea21f72e2d6df6f8b56d228f321,1190
reports/tushare/v8_research/batch1_hard_checks/batch1_low_entry_amount_samples.csv,065f8cf7b7e9be99110f9daa11ca6aeb070773193381cd63c0c1a0ab02d19a68,96
reports/tushare/v8_research/batch1_hard_checks/batch1_low_exit_amount_samples.csv,6ef2682f868e8c1af4e18884fcb462475f7f6f7702e1a6c874a39becd189b60c,133
reports/tushare/v8_research/batch1_hard_checks/batch1_partial_fill_events.csv,9447aed485c1da2edefb83f715cd54db3c83761e3bbb398331434f09039995fc,7139707
reports/tushare/v8_research/batch1_hard_checks/batch1_unfilled_reason_summary.csv,ebc6094e5d193d832ce1595fac2f29acf30f8e0870bf996e7c2a237180988b7e,11351
reports/tushare/v8_research/batch1_hard_checks/batch1_universe_daily_size.csv,885ccdb56ee8c93875636200be66449903fcc8a5d2a46b49a6482eff189bdf10,12158
reports/tushare/v8_research/batch1_hard_checks/batch1_universe_evaluation_summary.csv,56bf201bd91269c2e47142aa87df0ee61d5449ef64346aa18f4b8817c3da21de,175132
reports/tushare/v8_research/batch1_hard_checks/batch1_universe_limitations.md,43bc33b8d807d52d01a710b55d77b7c0264b4eb7d961dc5beba6b9e21071954f,775
reports/tushare/v8_research/batch1_hard_checks/batch1_universe_overlap.csv,4d514600bf487ce50faffb73fa43afc931262839536712aa35b6da681c6ab8b8,15288
reports/tushare/v8_research/batch1_hard_checks/batch1_universe_signal_retention.csv,ba98daec57ced3c57ce6e9877f29b2673d40da46a66bbd62f3647434331307e8,15418
reports/tushare/v8_research/batch1_hard_checks/batch1_zero_fill_events.csv,4e881d0092b6a9dc3c54394e4f08cf2d553c60df39e38c0f7783ec58dc9eb2b9,323
research/v8_research/batch1_hard_checks.py,e27e440d59a2fea5cd8364ef0806a5b96cda7540e07c0134d3b8d016357eefe5,40649
research/v8_research/evaluate_strategy.py,5a7ed2db4f20036cc63c91f56dd80646d0cf4bcfa26a1a61d9a775d0bd33b4c7,44884
