line_id,strategy_id,code,name,entry_vwap,entry_amount,weight,limit_up_block_flag,suspend_flag,paper_entry_status,expected_entry_time,entry_price_source,entry_notes
S0_v7_original_top10,S0_v7_original_top10,603280.SH,南方路机,30.57832402234637,1094704.0,0.1,False,False,entry_recorded,14:55,raw_stk_mins_5min_bar_14:55_vwap,paper_only_no_order
S0_v7_original_top10,S0_v7_original_top10,003002.SZ,壶化股份,24.81948033707865,1767147.0,0.1,False,False,entry_recorded,14:55,raw_stk_mins_5min_bar_14:55_vwap,paper_only_no_order
S0_v7_original_top10,S0_v7_original_top10,002836.SZ,新宏泽,11.978275731105203,3153880.0,0.1,False,False,entry_recorded,14:55,raw_stk_mins_5min_bar_14:55_vwap,paper_only_no_order
S0_v7_original_top10,S0_v7_original_top10,001216.SZ,华瓷股份,16.590975443383357,2432237.0,0.1,False,False,entry_recorded,14:55,raw_stk_mins_5min_bar_14:55_vwap,paper_only_no_order
S0_v7_original_top10,S0_v7_original_top10,002905.SZ,金逸影视,8.474970153635384,1732114.4,0.1,False,False,entry_recorded,14:55,raw_stk_mins_5min_bar_14:55_vwap,paper_only_no_order
S0_v7_original_top10,S0_v7_original_top10,002233.SZ,塔牌集团,8.237174912564631,2560122.2,0.1,False,False,entry_recorded,14:55,raw_stk_mins_5min_bar_14:55_vwap,paper_only_no_order
S0_v7_original_top10,S0_v7_original_top10,001318.SZ,阳光乳业,12.167613219094248,994094.0,0.1,False,False,entry_recorded,14:55,raw_stk_mins_5min_bar_14:55_vwap,paper_only_no_order
S0_v7_original_top10,S0_v7_original_top10,000663.SZ,永安林业,6.300555845511482,2414373.0,0.1,False,False,entry_recorded,14:55,raw_stk_mins_5min_bar_14:55_vwap,paper_only_no_order
S0_v7_original_top10,S0_v7_original_top10,300600.SZ,国瑞科技,11.549021415823914,3882781.0,0.1,False,False,entry_recorded,14:55,raw_stk_mins_5min_bar_14:55_vwap,paper_only_no_order
S0_v7_original_top10,S0_v7_original_top10,600191.SH,华资实业,10.642886697137358,4424248.0,0.1,False,False,entry_recorded,14:55,raw_stk_mins_5min_bar_14:55_vwap,paper_only_no_order
S1_U2_filter_only_no_refill,S1_U2_filter_only_no_refill,001216.SZ,华瓷股份,16.590975443383357,2432237.0,1.0,False,False,entry_recorded,14:55,raw_stk_mins_5min_bar_14:55_vwap,paper_only_no_order
S0_tail_down,S0_v7_original_top10_tail_down,603280.SH,南方路机,30.57832402234637,1094704.0,0.1,False,False,entry_recorded,14:55,raw_stk_mins_5min_bar_14:55_vwap,paper_only_no_order
S0_tail_down,S0_v7_original_top10_tail_down,003002.SZ,壶化股份,24.81948033707865,1767147.0,0.1,False,False,entry_recorded,14:55,raw_stk_mins_5min_bar_14:55_vwap,paper_only_no_order
S0_tail_down,S0_v7_original_top10_tail_down,002836.SZ,新宏泽,11.978275731105203,3153880.0,0.1,False,False,entry_recorded,14:55,raw_stk_mins_5min_bar_14:55_vwap,paper_only_no_order
S0_tail_down,S0_v7_original_top10_tail_down,001216.SZ,华瓷股份,16.590975443383357,2432237.0,0.1,False,False,entry_recorded,14:55,raw_stk_mins_5min_bar_14:55_vwap,paper_only_no_order
S0_tail_down,S0_v7_original_top10_tail_down,002905.SZ,金逸影视,8.474970153635384,1732114.4,0.1,False,False,entry_recorded,14:55,raw_stk_mins_5min_bar_14:55_vwap,paper_only_no_order
S0_tail_down,S0_v7_original_top10_tail_down,002233.SZ,塔牌集团,8.237174912564631,2560122.2,0.1,False,False,entry_recorded,14:55,raw_stk_mins_5min_bar_14:55_vwap,paper_only_no_order
S0_tail_down,S0_v7_original_top10_tail_down,001318.SZ,阳光乳业,12.167613219094248,994094.0,0.1,False,False,entry_recorded,14:55,raw_stk_mins_5min_bar_14:55_vwap,paper_only_no_order
S0_tail_down,S0_v7_original_top10_tail_down,000663.SZ,永安林业,6.300555845511482,2414373.0,0.1,False,False,entry_recorded,14:55,raw_stk_mins_5min_bar_14:55_vwap,paper_only_no_order
S0_tail_down,S0_v7_original_top10_tail_down,300600.SZ,国瑞科技,11.549021415823914,3882781.0,0.1,False,False,entry_recorded,14:55,raw_stk_mins_5min_bar_14:55_vwap,paper_only_no_order
S0_tail_down,S0_v7_original_top10_tail_down,600191.SH,华资实业,10.642886697137358,4424248.0,0.1,False,False,entry_recorded,14:55,raw_stk_mins_5min_bar_14:55_vwap,paper_only_no_order
S1_U2_tail_down,S1_U2_filter_only_no_refill_tail_down,001216.SZ,华瓷股份,16.590975443383357,2432237.0,1.0,False,False,entry_recorded,14:55,raw_stk_mins_5min_bar_14:55_vwap,paper_only_no_order
