rule_id,rule_group,horizon,uses_industry_snapshot,eligible_for_training_plan,signal_days,total_trades,mean_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,rule_cumret_percentile,random_cumret_median,random_cumret_p95,baseline_role,evaluation_note
low_log_total_mv,size_inverse,5d,False,True,2027,40540,0.0079666772149616,0.5209669462259496,0.4892698569314258,1.498413343216287,1.3797086600057538,-0.9490676611415908,1.0,202.6795131571418,568.1787882456922,minimum_to_beat,gross cohort baseline from Batch3D; Batch4B must report model-vs-rule under the same locked split.
low_stock_amount_share_in_industry,liquidity_crowding_inverse,5d,False,True,2027,40540,0.0057601616152103,0.5328071040947213,0.4980759743463246,1.496337084456537,1.349973718294825,-0.883207702552175,1.0,213.08542617283808,564.967585060573,minimum_to_beat,gross cohort baseline from Batch3D; Batch4B must report model-vs-rule under the same locked split.
low_log_amount,liquidity_inverse,5d,False,True,2027,40540,0.0049644890707423,0.5323137641835225,0.4967439565860878,1.4464532395983063,1.3239851191109084,-0.9024614423285248,1.0,205.31141884136437,537.2836122897331,minimum_to_beat,gross cohort baseline from Batch3D; Batch4B must report model-vs-rule under the same locked split.
combo_low_liquidity_weak_momentum,combo,5d,False,True,1967,39340,0.0044811657252717,0.5460091509913574,0.4949415353329944,1.3824080466605486,1.256510238865084,-0.9141151551298856,0.996,222.4189534118866,566.7991750074311,minimum_to_beat,gross cohort baseline from Batch3D; Batch4B must report model-vs-rule under the same locked split.
combo_low_size_low_liquidity,combo,5d,False,True,2027,40540,0.0041635089761313,0.5441539220522941,0.5044153922052294,1.365081115757021,1.2691958662413,-0.8881259261654656,0.994,208.96372090828103,545.0441799310578,minimum_to_beat,gross cohort baseline from Batch3D; Batch4B must report model-vs-rule under the same locked split.
low_stock_ret_60d,medium_reversal,5d,False,True,1967,39340,0.0051487569851191,0.5078800203355364,0.4651499745805795,1.293406236330062,1.184511161684988,-0.9401913787283556,0.996,224.73134890049872,592.5284111338988,minimum_to_beat,gross cohort baseline from Batch3D; Batch4B must report model-vs-rule under the same locked split.
combo_low_liquidity,combo,5d,False,False,2027,40540,0.0034250839808776,0.5441539220522941,0.4955106068080908,1.3360951004226351,1.2337572009257305,-0.8869891862315352,0.632,201.8436036983038,507.75237259176606,diagnostic_baseline,gross cohort baseline from Batch3D; Batch4B must report model-vs-rule under the same locked split.
combo_weak_momentum,combo,5d,True,False,1967,39340,0.0053301383958144,0.5221148957803762,0.4722419928825623,1.3262807828167296,1.2016125793010222,-0.9199791848776432,1.0,225.3617415580757,548.3986550820599,diagnostic_baseline,gross cohort baseline from Batch3D; Batch4B must report model-vs-rule under the same locked split.
low_turnover_rate,liquidity_inverse,5d,False,False,2027,40540,0.0020685382692205,0.5313270843611249,0.4854958066107548,1.317582247610073,1.187370036621883,-0.6571519541361261,0.004,208.21055111003085,528.0301491373369,diagnostic_baseline,gross cohort baseline from Batch3D; Batch4B must report model-vs-rule under the same locked split.
low_stock_rel_industry_ret_60d,relative_strength_inverse,5d,True,False,1967,39340,0.0049452873671703,0.5155058464667006,0.4683528215556685,1.3043658480082172,1.1856635057106897,-0.9510026998816342,0.994,221.7932583809093,529.0289633559355,diagnostic_baseline,gross cohort baseline from Batch3D; Batch4B must report model-vs-rule under the same locked split.
low_stock_ret_20d,medium_reversal,5d,False,False,2007,40140,0.0043803505305889,0.5246636771300448,0.4692077727952167,1.2641545916067751,1.1583026853464686,-0.8827569864637711,0.708,301.56475664112486,716.5796614763765,diagnostic_baseline,gross cohort baseline from Batch3D; Batch4B must report model-vs-rule under the same locked split.
low_industry_crowding_score,industry_crowding_inverse,5d,True,False,1967,39340,0.0030285680969527,0.5404168784951703,0.4949923741738688,1.2476277464644117,1.169362429964439,-0.8161539982289051,0.06,236.0797893112198,620.9810513161972,diagnostic_baseline,gross cohort baseline from Batch3D; Batch4B must report model-vs-rule under the same locked split.
low_stock_rel_industry_ret_20d,relative_strength_inverse,5d,True,False,2007,40140,0.0037341915183984,0.5226706527154957,0.466591928251121,1.2326807942348317,1.1350016419657236,-0.8771748677609128,0.126,296.24314838809903,759.9301059838122,diagnostic_baseline,gross cohort baseline from Batch3D; Batch4B must report model-vs-rule under the same locked split.
low_industry_ret_60d,industry_reversal,5d,True,False,1967,39340,0.001560180945092,0.5114387391967463,0.4822572445348246,1.110386821380491,1.0761552232395972,-0.9161223548766148,0.0,209.80147616732103,556.3070310010884,diagnostic_baseline,gross cohort baseline from Batch3D; Batch4B must report model-vs-rule under the same locked split.
high_industry_ret_20d,industry_momentum_control,5d,True,False,2007,40140,0.0015321451167631,0.484304932735426,0.4486297957149975,1.0818961773415714,1.0545665677648466,-0.9124317124485666,0.0,279.82407884088093,814.2236033677111,diagnostic_baseline,gross cohort baseline from Batch3D; Batch4B must report model-vs-rule under the same locked split.
low_stock_ret_5d,short_reversal,5d,False,False,2022,40440,0.001123915371514,0.4762611275964392,0.4459940652818991,1.061026448069308,1.0367026845790477,-0.9848595290048394,0.0,219.47895976736805,564.4182036300938,diagnostic_baseline,gross cohort baseline from Batch3D; Batch4B must report model-vs-rule under the same locked split.
high_stock_ret_60d,momentum_control,5d,False,False,1967,39340,-0.0029470744663733,0.469242501270971,0.4252669039145907,0.8836649722101778,0.9392841873656478,-0.999990943664276,0.0,213.82608103540144,550.4244166114469,diagnostic_baseline,gross cohort baseline from Batch3D; Batch4B must report model-vs-rule under the same locked split.
high_stock_ret_20d,momentum_control,5d,False,False,2007,40140,-0.0064530790704045,0.4434479322371699,0.4053811659192825,0.7678932494741197,0.8795512255457465,-0.9999999935376952,0.0,312.98042352204163,814.3941624532268,diagnostic_baseline,gross cohort baseline from Batch3D; Batch4B must report model-vs-rule under the same locked split.
